"","ego","alter","advice_tie","friendship_tie","reports_to_tie"
"1",1,1,0,0,0
"2",1,2,1,1,1
"3",1,3,0,0,0
"4",1,4,1,1,0
"5",1,5,0,0,0
"6",1,6,0,0,0
"7",1,7,0,0,0
"8",1,8,1,1,0
"9",1,9,0,0,0
"10",1,10,0,0,0
"11",1,11,0,0,0
"12",1,12,0,1,0
"13",1,13,0,0,0
"14",1,14,0,0,0
"15",1,15,0,0,0
"16",1,16,1,1,0
"17",1,17,0,0,0
"18",1,18,1,0,0
"19",1,19,0,0,0
"20",1,20,0,0,0
"21",1,21,1,0,0
"22",2,1,0,1,0
"23",2,2,0,0,0
"24",2,3,0,0,0
"25",2,4,0,0,0
"26",2,5,0,0,0
"27",2,6,1,0,0
"28",2,7,1,0,1
"29",2,8,0,0,0
"30",2,9,0,0,0
"31",2,10,0,0,0
"32",2,11,0,0,0
"33",2,12,0,0,0
"34",2,13,0,0,0
"35",2,14,0,0,0
"36",2,15,0,0,0
"37",2,16,0,0,0
"38",2,17,0,0,0
"39",2,18,0,1,0
"40",2,19,0,0,0
"41",2,20,0,0,0
"42",2,21,1,1,0
"43",3,1,1,0,0
"44",3,2,1,0,0
"45",3,3,0,0,0
"46",3,4,1,0,0
"47",3,5,0,0,0
"48",3,6,1,0,0
"49",3,7,1,0,0
"50",3,8,1,0,0
"51",3,9,1,0,0
"52",3,10,1,0,0
"53",3,11,1,0,0
"54",3,12,1,0,0
"55",3,13,0,0,0
"56",3,14,1,1,1
"57",3,15,0,0,0
"58",3,16,0,0,0
"59",3,17,1,0,0
"60",3,18,1,0,0
"61",3,19,0,1,0
"62",3,20,1,0,0
"63",3,21,1,0,0
"64",4,1,1,1,0
"65",4,2,1,1,1
"66",4,3,0,0,0
"67",4,4,0,0,0
"68",4,5,0,0,0
"69",4,6,1,0,0
"70",4,7,0,0,0
"71",4,8,1,1,0
"72",4,9,0,0,0
"73",4,10,1,0,0
"74",4,11,1,0,0
"75",4,12,1,1,0
"76",4,13,0,0,0
"77",4,14,0,0,0
"78",4,15,0,0,0
"79",4,16,1,1,0
"80",4,17,1,1,0
"81",4,18,1,0,0
"82",4,19,0,0,0
"83",4,20,1,0,0
"84",4,21,1,0,0
"85",5,1,1,0,0
"86",5,2,1,1,0
"87",5,3,0,0,0
"88",5,4,0,0,0
"89",5,5,0,0,0
"90",5,6,1,0,0
"91",5,7,1,0,0
"92",5,8,1,0,0
"93",5,9,0,1,0
"94",5,10,1,0,0
"95",5,11,1,1,0
"96",5,12,0,0,0
"97",5,13,1,0,0
"98",5,14,1,1,1
"99",5,15,0,0,0
"100",5,16,1,0,0
"101",5,17,1,1,0
"102",5,18,1,0,0
"103",5,19,1,1,0
"104",5,20,1,0,0
"105",5,21,1,1,0
"106",6,1,0,0,0
"107",6,2,0,1,0
"108",6,3,0,0,0
"109",6,4,0,0,0
"110",6,5,0,0,0
"111",6,6,0,0,0
"112",6,7,0,1,0
"113",6,8,0,0,0
"114",6,9,0,1,0
"115",6,10,0,0,0
"116",6,11,0,0,0
"117",6,12,0,1,0
"118",6,13,0,0,0
"119",6,14,0,0,0
"120",6,15,0,0,0
"121",6,16,0,0,0
"122",6,17,0,1,0
"123",6,18,0,0,0
"124",6,19,0,0,0
"125",6,20,0,0,0
"126",6,21,1,1,1
"127",7,1,0,0,0
"128",7,2,1,0,0
"129",7,3,0,0,0
"130",7,4,0,0,0
"131",7,5,0,0,0
"132",7,6,1,0,0
"133",7,7,0,0,0
"134",7,8,0,0,0
"135",7,9,0,0,0
"136",7,10,0,0,0
"137",7,11,1,0,0
"138",7,12,1,0,0
"139",7,13,0,0,0
"140",7,14,1,0,0
"141",7,15,0,0,0
"142",7,16,0,0,0
"143",7,17,1,0,0
"144",7,18,1,0,0
"145",7,19,0,0,0
"146",7,20,0,0,0
"147",7,21,1,0,0
"148",8,1,0,0,0
"149",8,2,1,0,0
"150",8,3,0,0,0
"151",8,4,1,1,0
"152",8,5,0,0,0
"153",8,6,1,0,0
"154",8,7,1,0,0
"155",8,8,0,0,0
"156",8,9,0,0,0
"157",8,10,1,0,0
"158",8,11,1,0,0
"159",8,12,0,0,0
"160",8,13,0,0,0
"161",8,14,0,0,0
"162",8,15,0,0,0
"163",8,16,0,0,0
"164",8,17,0,0,0
"165",8,18,1,0,0
"166",8,19,0,0,0
"167",8,20,0,0,0
"168",8,21,1,0,1
"169",9,1,1,0,0
"170",9,2,1,0,0
"171",9,3,0,0,0
"172",9,4,0,0,0
"173",9,5,0,0,0
"174",9,6,1,0,0
"175",9,7,1,0,0
"176",9,8,1,0,0
"177",9,9,0,0,0
"178",9,10,1,0,0
"179",9,11,1,0,0
"180",9,12,1,0,0
"181",9,13,0,0,0
"182",9,14,1,0,1
"183",9,15,0,0,0
"184",9,16,1,0,0
"185",9,17,1,0,0
"186",9,18,1,0,0
"187",9,19,0,0,0
"188",9,20,0,0,0
"189",9,21,1,0,0
"190",10,1,1,0,0
"191",10,2,1,0,0
"192",10,3,1,1,0
"193",10,4,1,0,0
"194",10,5,1,1,0
"195",10,6,0,0,0
"196",10,7,0,0,0
"197",10,8,1,1,0
"198",10,9,0,1,0
"199",10,10,0,0,0
"200",10,11,1,0,0
"201",10,12,0,1,0
"202",10,13,1,0,0
"203",10,14,0,0,0
"204",10,15,1,0,0
"205",10,16,1,1,0
"206",10,17,1,0,0
"207",10,18,1,0,1
"208",10,19,1,0,0
"209",10,20,1,1,0
"210",10,21,0,0,0
"211",11,1,1,1,0
"212",11,2,1,1,0
"213",11,3,0,1,0
"214",11,4,0,1,0
"215",11,5,0,1,0
"216",11,6,0,0,0
"217",11,7,1,0,0
"218",11,8,0,1,0
"219",11,9,0,1,0
"220",11,10,0,0,0
"221",11,11,0,0,0
"222",11,12,0,1,0
"223",11,13,0,1,0
"224",11,14,0,0,0
"225",11,15,0,1,0
"226",11,16,0,0,0
"227",11,17,0,1,0
"228",11,18,0,1,1
"229",11,19,0,1,0
"230",11,20,0,0,0
"231",11,21,0,0,0
"232",12,1,0,1,0
"233",12,2,0,0,0
"234",12,3,0,0,0
"235",12,4,0,1,0
"236",12,5,0,0,0
"237",12,6,0,0,0
"238",12,7,1,0,0
"239",12,8,0,0,0
"240",12,9,0,0,0
"241",12,10,0,0,0
"242",12,11,0,0,0
"243",12,12,0,0,0
"244",12,13,0,0,0
"245",12,14,0,0,0
"246",12,15,0,0,0
"247",12,16,0,0,0
"248",12,17,0,1,0
"249",12,18,0,0,0
"250",12,19,0,0,0
"251",12,20,0,0,0
"252",12,21,1,1,1
"253",13,1,1,0,0
"254",13,2,1,0,0
"255",13,3,0,0,0
"256",13,4,0,0,0
"257",13,5,1,1,0
"258",13,6,0,0,0
"259",13,7,0,0,0
"260",13,8,0,0,0
"261",13,9,1,0,0
"262",13,10,0,0,0
"263",13,11,0,1,0
"264",13,12,0,0,0
"265",13,13,0,0,0
"266",13,14,1,0,1
"267",13,15,0,0,0
"268",13,16,0,0,0
"269",13,17,0,0,0
"270",13,18,1,0,0
"271",13,19,0,0,0
"272",13,20,0,0,0
"273",13,21,0,0,0
"274",14,1,0,0,0
"275",14,2,1,0,0
"276",14,3,0,0,0
"277",14,4,0,0,0
"278",14,5,0,0,0
"279",14,6,0,0,0
"280",14,7,1,1,1
"281",14,8,0,0,0
"282",14,9,0,0,0
"283",14,10,0,0,0
"284",14,11,0,0,0
"285",14,12,0,0,0
"286",14,13,0,0,0
"287",14,14,0,0,0
"288",14,15,0,1,0
"289",14,16,0,0,0
"290",14,17,0,0,0
"291",14,18,1,0,0
"292",14,19,0,0,0
"293",14,20,0,0,0
"294",14,21,1,0,0
"295",15,1,1,1,0
"296",15,2,1,0,0
"297",15,3,1,1,0
"298",15,4,1,0,0
"299",15,5,1,1,0
"300",15,6,1,1,0
"301",15,7,1,0,0
"302",15,8,1,0,0
"303",15,9,1,1,0
"304",15,10,1,0,0
"305",15,11,1,1,0
"306",15,12,1,0,0
"307",15,13,1,0,0
"308",15,14,1,1,1
"309",15,15,0,0,0
"310",15,16,1,0,0
"311",15,17,1,0,0
"312",15,18,1,0,0
"313",15,19,1,1,0
"314",15,20,1,0,0
"315",15,21,1,0,0
"316",16,1,1,1,0
"317",16,2,1,1,1
"318",16,3,0,0,0
"319",16,4,0,0,0
"320",16,5,0,0,0
"321",16,6,0,0,0
"322",16,7,0,0,0
"323",16,8,0,0,0
"324",16,9,0,0,0
"325",16,10,1,0,0
"326",16,11,0,0,0
"327",16,12,0,0,0
"328",16,13,0,0,0
"329",16,14,0,0,0
"330",16,15,0,0,0
"331",16,16,0,0,0
"332",16,17,0,0,0
"333",16,18,1,0,0
"334",16,19,0,0,0
"335",16,20,0,0,0
"336",16,21,0,0,0
"337",17,1,1,1,0
"338",17,2,1,1,0
"339",17,3,0,1,0
"340",17,4,1,1,0
"341",17,5,0,1,0
"342",17,6,0,1,0
"343",17,7,1,1,0
"344",17,8,0,1,0
"345",17,9,0,1,0
"346",17,10,0,1,0
"347",17,11,0,1,0
"348",17,12,0,1,0
"349",17,13,0,0,0
"350",17,14,0,1,0
"351",17,15,0,1,0
"352",17,16,0,1,0
"353",17,17,0,0,0
"354",17,18,0,0,0
"355",17,19,0,1,0
"356",17,20,0,1,0
"357",17,21,1,1,1
"358",18,1,1,0,0
"359",18,2,1,1,0
"360",18,3,1,0,0
"361",18,4,1,0,0
"362",18,5,1,0,0
"363",18,6,0,0,0
"364",18,7,1,0,1
"365",18,8,1,0,0
"366",18,9,1,0,0
"367",18,10,1,0,0
"368",18,11,1,0,0
"369",18,12,0,0,0
"370",18,13,1,0,0
"371",18,14,1,0,0
"372",18,15,1,0,0
"373",18,16,1,0,0
"374",18,17,0,0,0
"375",18,18,0,0,0
"376",18,19,1,0,0
"377",18,20,1,0,0
"378",18,21,1,0,0
"379",19,1,1,1,0
"380",19,2,1,1,0
"381",19,3,1,1,0
"382",19,4,0,0,0
"383",19,5,1,1,0
"384",19,6,0,0,0
"385",19,7,1,0,0
"386",19,8,0,0,0
"387",19,9,0,0,0
"388",19,10,1,0,0
"389",19,11,1,1,0
"390",19,12,0,1,0
"391",19,13,0,0,0
"392",19,14,1,1,1
"393",19,15,1,1,0
"394",19,16,0,0,0
"395",19,17,0,0,0
"396",19,18,1,0,0
"397",19,19,0,0,0
"398",19,20,1,1,0
"399",19,21,0,0,0
"400",20,1,1,0,0
"401",20,2,1,0,0
"402",20,3,0,0,0
"403",20,4,0,0,0
"404",20,5,0,0,0
"405",20,6,1,0,0
"406",20,7,0,0,0
"407",20,8,1,0,0
"408",20,9,0,0,0
"409",20,10,0,0,0
"410",20,11,1,1,0
"411",20,12,1,0,0
"412",20,13,0,0,0
"413",20,14,1,0,1
"414",20,15,1,0,0
"415",20,16,1,0,0
"416",20,17,1,0,0
"417",20,18,1,1,0
"418",20,19,0,0,0
"419",20,20,0,0,0
"420",20,21,1,0,0
"421",21,1,0,0,0
"422",21,2,1,1,0
"423",21,3,1,0,0
"424",21,4,1,0,0
"425",21,5,0,0,0
"426",21,6,1,0,0
"427",21,7,1,0,1
"428",21,8,1,0,0
"429",21,9,0,0,0
"430",21,10,0,0,0
"431",21,11,0,0,0
"432",21,12,1,1,0
"433",21,13,0,0,0
"434",21,14,1,0,0
"435",21,15,0,0,0
"436",21,16,0,0,0
"437",21,17,1,1,0
"438",21,18,1,1,0
"439",21,19,0,0,0
"440",21,20,1,0,0
"441",21,21,0,0,0
